
2012.09.26 21:42

EURCAD, SELL, Diff: 0.00011230, iStochastic Main: 42.89185905, iStochastic Signal: 62.90953158

USDCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.94051, Ask: 0.94076, Spread: 25.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77396, Ask: 0.77433, Spread: 37.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81092, Ask: 0.81144, Spread: 52.00000000

2012.09.26 22:20


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93987, Ask: 0.94012, Spread: 25.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61557, Ask: 1.61581, Spread: 24.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28580, Ask: 1.28599, Spread: 19.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.720, Ask: 77.740, Spread: 20.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98470, Ask: 0.98493, Spread: 23.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03546, Ask: 1.03568, Spread: 22.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24156, Ask: 1.24193, Spread: 37.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.940, Ask: 99.965, Spread: 25.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51854, Ask: 1.51898, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.915, Ask: 78.942, Spread: 27.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.569, Ask: 125.607, Spread: 38.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01967, Ask: 1.02004, Spread: 37.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97329, Ask: 0.97363, Spread: 34.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.477, Ask: 80.511, Spread: 34.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.676, Ask: 82.706, Spread: 30.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56051, Ask: 1.56109, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26623, Ask: 1.26657, Spread: 34.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 64.022, Ask: 64.057, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82377, Ask: 0.82408, Spread: 31.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59092, Ask: 1.59139, Spread: 47.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96060, Ask: 1.96151, Spread: 91.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.55998, Ask: 1.56046, Spread: 48.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77422, Ask: 0.77463, Spread: 41.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81116, Ask: 0.81157, Spread: 41.00000000

2012.09.26 22:25


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93988, Ask: 0.94012, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61562, Ask: 1.61586, Spread: 24.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28567, Ask: 1.28587, Spread: 20.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.721, Ask: 77.740, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98493, Ask: 0.98518, Spread: 25.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03520, Ask: 1.03543, Spread: 23.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24175, Ask: 1.24213, Spread: 38.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.929, Ask: 99.956, Spread: 27.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51858, Ask: 1.51903, Spread: 45.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.895, Ask: 78.922, Spread: 27.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.571, Ask: 125.610, Spread: 39.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01971, Ask: 1.02005, Spread: 34.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97300, Ask: 0.97340, Spread: 40.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.458, Ask: 80.491, Spread: 33.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.675, Ask: 82.705, Spread: 30.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56112, Ask: 1.56170, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26642, Ask: 1.26678, Spread: 36.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.992, Ask: 64.027, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82334, Ask: 0.82367, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59140, Ask: 1.59186, Spread: 46.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96156, Ask: 1.96247, Spread: 91.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56036, Ask: 1.56085, Spread: 49.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77388, Ask: 0.77431, Spread: 43.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81102, Ask: 0.81154, Spread: 52.00000000

2012.09.26 22:30


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93995, Ask: 0.94020, Spread: 25.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61555, Ask: 1.61581, Spread: 26.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28558, Ask: 1.28577, Spread: 19.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.721, Ask: 77.741, Spread: 20.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98520, Ask: 0.98545, Spread: 25.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03505, Ask: 1.03523, Spread: 18.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24188, Ask: 1.24223, Spread: 35.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.926, Ask: 99.953, Spread: 27.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51867, Ask: 1.51911, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.868, Ask: 78.896, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.569, Ask: 125.607, Spread: 38.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01981, Ask: 1.02018, Spread: 37.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97298, Ask: 0.97329, Spread: 31.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.445, Ask: 80.478, Spread: 33.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.670, Ask: 82.700, Spread: 30.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56133, Ask: 1.56189, Spread: 56.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26672, Ask: 1.26705, Spread: 33.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.977, Ask: 64.012, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82318, Ask: 0.82349, Spread: 31.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59186, Ask: 1.59223, Spread: 37.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96198, Ask: 1.96283, Spread: 85.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56062, Ask: 1.56109, Spread: 47.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77375, Ask: 0.77413, Spread: 38.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81105, Ask: 0.81154, Spread: 49.00000000

2012.09.26 22:35


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93993, Ask: 0.94017, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61561, Ask: 1.61587, Spread: 26.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28573, Ask: 1.28592, Spread: 19.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.714, Ask: 77.733, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98558, Ask: 0.98581, Spread: 23.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03509, Ask: 1.03527, Spread: 18.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24196, Ask: 1.24230, Spread: 34.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.925, Ask: 99.952, Spread: 27.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51867, Ask: 1.51912, Spread: 45.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.837, Ask: 78.865, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.562, Ask: 125.599, Spread: 37.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.02019, Ask: 1.02059, Spread: 40.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97293, Ask: 0.97331, Spread: 38.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.441, Ask: 80.473, Spread: 32.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.665, Ask: 82.696, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56185, Ask: 1.56240, Spread: 55.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26731, Ask: 1.26766, Spread: 35.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.959, Ask: 63.994, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82302, Ask: 0.82335, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59246, Ask: 1.59282, Spread: 36.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96237, Ask: 1.96325, Spread: 88.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56061, Ask: 1.56104, Spread: 43.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77360, Ask: 0.77402, Spread: 42.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81116, Ask: 0.81165, Spread: 49.00000000

2012.09.26 22:40


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.94018, Ask: 0.94043, Spread: 25.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61546, Ask: 1.61571, Spread: 25.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28548, Ask: 1.28566, Spread: 18.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.709, Ask: 77.728, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98568, Ask: 0.98593, Spread: 25.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03502, Ask: 1.03520, Spread: 18.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24181, Ask: 1.24217, Spread: 36.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.904, Ask: 99.928, Spread: 24.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51892, Ask: 1.51935, Spread: 43.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.821, Ask: 78.849, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.544, Ask: 125.577, Spread: 33.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.02023, Ask: 1.02060, Spread: 37.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97311, Ask: 0.97348, Spread: 37.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.434, Ask: 80.463, Spread: 29.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.637, Ask: 82.668, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56124, Ask: 1.56182, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26720, Ask: 1.26757, Spread: 37.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.967, Ask: 64.002, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82314, Ask: 0.82347, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59243, Ask: 1.59291, Spread: 48.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96192, Ask: 1.96284, Spread: 92.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56056, Ask: 1.56102, Spread: 46.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77388, Ask: 0.77429, Spread: 41.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81136, Ask: 0.81179, Spread: 43.00000000

2012.09.26 22:45


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93975, Ask: 0.93999, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61571, Ask: 1.61595, Spread: 24.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28610, Ask: 1.28630, Spread: 20.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.709, Ask: 77.728, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98528, Ask: 0.98553, Spread: 25.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03549, Ask: 1.03563, Spread: 14.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24190, Ask: 1.24225, Spread: 35.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.948, Ask: 99.974, Spread: 26.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51842, Ask: 1.51886, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.854, Ask: 78.882, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.560, Ask: 125.597, Spread: 37.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.02037, Ask: 1.02066, Spread: 29.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97315, Ask: 0.97348, Spread: 33.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.469, Ask: 80.497, Spread: 28.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.676, Ask: 82.707, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56147, Ask: 1.56202, Spread: 55.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26726, Ask: 1.26761, Spread: 35.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.992, Ask: 64.026, Spread: 34.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82344, Ask: 0.82377, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59196, Ask: 1.59244, Spread: 48.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96146, Ask: 1.96226, Spread: 80.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56009, Ask: 1.56056, Spread: 47.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77388, Ask: 0.77423, Spread: 35.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81141, Ask: 0.81194, Spread: 53.00000000

2012.09.26 22:48


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93977, Ask: 0.94001, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61554, Ask: 1.61580, Spread: 26.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28598, Ask: 1.28619, Spread: 21.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.703, Ask: 77.723, Spread: 20.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98572, Ask: 0.98594, Spread: 22.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03542, Ask: 1.03561, Spread: 19.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24183, Ask: 1.24217, Spread: 34.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.930, Ask: 99.956, Spread: 26.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51834, Ask: 1.51876, Spread: 42.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.814, Ask: 78.841, Spread: 27.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.539, Ask: 125.578, Spread: 39.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.02067, Ask: 1.02103, Spread: 36.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97308, Ask: 0.97344, Spread: 36.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.456, Ask: 80.485, Spread: 29.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.670, Ask: 82.700, Spread: 30.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56157, Ask: 1.56215, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26775, Ask: 1.26805, Spread: 30.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.972, Ask: 64.007, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82330, Ask: 0.82363, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59259, Ask: 1.59303, Spread: 44.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96162, Ask: 1.96254, Spread: 92.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56006, Ask: 1.56049, Spread: 43.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77370, Ask: 0.77413, Spread: 43.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81156, Ask: 0.81203, Spread: 47.00000000

2012.09.26 22:50


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93965, Ask: 0.93990, Spread: 25.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61569, Ask: 1.61595, Spread: 26.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28616, Ask: 1.28635, Spread: 19.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.707, Ask: 77.727, Spread: 20.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98565, Ask: 0.98590, Spread: 25.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03550, Ask: 1.03568, Spread: 18.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24187, Ask: 1.24223, Spread: 36.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.949, Ask: 99.975, Spread: 26.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51830, Ask: 1.51874, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.824, Ask: 78.852, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.557, Ask: 125.596, Spread: 39.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.02068, Ask: 1.02104, Spread: 36.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97303, Ask: 0.97338, Spread: 35.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.468, Ask: 80.491, Spread: 23.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.684, Ask: 82.715, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56183, Ask: 1.56241, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26779, Ask: 1.26813, Spread: 34.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.974, Ask: 64.009, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82328, Ask: 0.82361, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59262, Ask: 1.59305, Spread: 43.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96174, Ask: 1.96264, Spread: 90.00000000
